,tweet_id,date,original_tweets,cleaned_tweets,sentiment
63,1080200886834495488,2019-01-01,We will change the world.  God is on my side. I am a Christian. I am a tax payer. I am myself. God is with us.,we will change the world god is on my side am christian am tax payer am myself god is with us,0
64,1080200583410110464,2019-01-01,Love everyone,love everyone,1
65,1080200557933977600,2019-01-01,RT @JeiG11: @kanyewest DRAGON ENERGY ALL LOVE,dragon energy all love,1
66,1080200542855389184,2019-01-01,RT @katmurrayxo: @kanyewest THE UNIVERSE IS ON OUR SIDE.,the universe is on our side,0
67,1080200518469730304,2019-01-01,RT @ima_fix_wolves: @kanyewest SAY WHAT YOU FEEL THATS WHAT YOU TAUGHT ME,say what you feel thats what you taught me,0
68,1080200493299691520,2019-01-01,RT @KanyeStanWV: @kanyewest Always be you Kanye! Fuck what everyone else thinks! Always be you,always be you kanye fuck what everyone else thinks always be you,-1
69,1080200479697596416,2019-01-01,"RT @yeezyenergy: @kanyewest I’m not outta control, I’m just not in they control",not outta control just not in they control,0
70,1080200469190832128,2019-01-01,RT @Maha_Sattva: @kanyewest That’s why I look up to you.,that why look up to you,0
71,1080200446591946753,2019-01-01,RT @astrxx_2: @kanyewest Freedom is key,freedom is key,0
72,1080200391906578433,2019-01-01,Blacks are 90% Democrats     That sounds like control to me 🤔,blacks are democrats that sounds like control to me,0
73,1080200209253068800,2019-01-01,They will not program me,they will not program me,0
74,1080200158371971072,2019-01-01,RT @SadioKanye: @kanyewest Be yourself no matter what,be yourself no matter what,0
75,1080199962837676032,2019-01-01,RT @ScooptyWhooop: @kanyewest DRAGON ENERGY,dragon energy,0
76,1080199931338485760,2019-01-01,Just so in 2019 you know where I stand,just so in you know where stand,0
78,1080199325295071233,2019-01-01,Trump all day,trump all day,0
79,1080193638158614528,2019-01-01,"RT @KanyeWe15883162: Here's an art of my idol, Ye (inspired my wolves video)  @kanyewest @TeamKanyeDaily https://t.co/bh64dL5YGs",here an of my idol ye inspired my wolves video,0
80,1080181630453481473,2019-01-01,RT @TeamKanyeDaily: NEW: YE MUST BE BORN AGAIN '19 HOODED SWEATSHIRT https://t.co/tbMHHJPaie,new ye must be born again hooded sweatshi,1
81,1080181496986492929,2019-01-01,RT @XXL: This might not help but... https://t.co/D691ncGoNH,this might not help but,0
82,1080180298778783744,2019-01-01,"RT @AMAZlNGNATURE: Stunning video captures meteorological phenomenon known as cloud iridescence, which painted the sky above Ribeirao Claro…",stunning video captures meteorological phenomenon known as cloud iridescence which painted the sky above ribeirao claro,1
83,1080180225760083968,2019-01-01,RT @AMAZlNGNATURE: Yosemite National Park is home to the most amazing waterfalls 🌈 https://t.co/awMhKuHMlN,yosemite national park is home to the most amazing waterfalls,1
84,1080179936256618496,2019-01-01,RT @AMAZlNGNATURE: Tarantulas 😍 https://t.co/xylANCJpEF,tarantulas,0
85,1080179847421284352,2019-01-01,RT @AMAZlNGNATURE: Little Arabian Colt Prancing Around https://t.co/Cp9P9gHLS1,little arabian colt prancing around,-1
86,1080179680467050496,2019-01-01,RT @AMAZlNGNATURE: This is so Magical!! https://t.co/OvArSUExc9,this is so magical,1
87,1080179495749922816,2019-01-01,RT @AMAZlNGNATURE: BATELEUR AFRICAN EAGLE 🦅 https://t.co/x2Q6IJ6ker,bateleur african eagle,0
88,1080179293848711168,2019-01-01,RT @AMAZlNGNATURE: This is how mushrooms bloom🍄 https://t.co/rkkqr4S3cr,this is how mushrooms bloom,0
89,1080178988612386817,2019-01-01,"RT @AMAZlNGNATURE: Fringe tree frogs 💕

🎥ig: romanne_c https://t.co/9sQNJBlA8t",fringe tree frogs ig romanne,0
90,1080178662761160705,2019-01-01,RT @AMAZlNGNATURE: Dancing baby Ray will make your day https://t.co/dSHnkZy8nf,dancing baby ray will make your day,0
91,1080178462785101824,2019-01-01,RT @AMAZlNGNATURE: These beautiful llamas in Italy💕 https://t.co/g2zz6IEyO8,these beautiful llamas in italy,1
92,1080178291032481792,2019-01-01,RT @AMAZlNGNATURE: Beekeepers have trained dogs to sniff out diseased larva and save entire hives. https://t.co/0fxgl8LLdG,beekeepers have trained dogs to sniff out diseased larva and save entire hives,-1
93,1080176862087700481,2019-01-01,Keep moving forward,keep moving forward,0
94,1079928639704055808,2019-01-01,RT @KrysJenner: @malikyusef This album changed my life 😭🔥 https://t.co/M0O7B1qozA,this album changed my life,0
95,1079928318265184264,2019-01-01,RT @mudboywest: Got my VERY first tattoo when I turned 18 3 years ago and it was dedicated to the GOAT Kanye West @kanyewest I’ve been rock…,got my very first tattoo when turned years ago and it was dedicated to the goat kanye west ve been rock,1
96,1079928217396436995,2019-01-01,RT @Kanyeberly: Here's my Kanye tattoo I've been wanting for almost 6 years @TeamKanyeDaily @KimKardashian https://t.co/CKXecqjrpK,here my kanye tattoo ve been wanting for almost years,0
97,1079927614578421760,2019-01-01,RT @NorthMemKardash: @kanyewest just want you to know that you are sooo fucking awesomw I have started my first of my two dedication tats i…,just want you to know that you are sooo fucking awesomw have staed my first of my two dedication tats,-1
98,1079927005859082245,2019-01-01,RT @noemikardash: Lucky me! I see GHOSTS! 👻 @KidCudi @kanyewest https://t.co/yMvbyWlQRM,lucky me see ghosts,1
99,1079924229443735552,2019-01-01,"RT @TeamKanyeDaily: 7. DadYe the design assistant. 

“She be screaming at me, ‘you didn’t hold the plastic right you never gonna sell no cl…",dadye the design assistant she be screaming at me you didn hold the plastic right you never gonna sell no cl,1
102,1079920215473893376,2019-01-01,RT @LUVisUzi: Timeline needs to see this video again💕 https://t.co/lUjDVJe8Ah,timeline needs to see this video again,0
103,1079895517675454465,2019-01-01,Yeezy winter campaign 😂😂😂 https://t.co/wR6401unNW,yeezy winter campaign,0
104,1079892827247542273,2019-01-01,2019 we going in     Always remember we did five albums in a row       I love making music     We always feel the love,we going in always remember we did five albums in row love making music we always feel the love,1
106,1079885479154049024,2018-12-31,"RT @AdamWolpert1: Uno dos tres quatro cinco, we won 2018 #GOODyear https://t.co/zkToubfo7H",uno dos tres quatro cinco we won goodyear,0
107,1079867540594028546,2018-12-31,RT @subtweetshawn0: I was out numbered ... https://t.co/a64lffr7pm,was out numbered,0
108,1079834628863680513,2018-12-31,Love everyone,love everyone,1
109,1079834295730987008,2018-12-31,If something’s on my mind and spirit I let it out,if something on my mind and spirit let it out,0
110,1079833972014645248,2018-12-31,Tweeting is legal and also therapeutic,tweeting is legal and also therapeutic,1
111,1079833882113990656,2018-12-31,See when you care about your family you don’t let no man push you to do nothing that could risk your freedom,see when you care about your family you don let no man push you to do nothing that could risk your freedom,0
112,1079833477808148480,2018-12-31,If I got any cooler I would freeze to death,if got any cooler would freeze to death,0
113,1079833398384910338,2018-12-31,I ain’t never followed anyone else’s methods     I ain’t trying to be cool,ain never followed anyone else methods ain trying to be cool,1
114,1079832911317164034,2018-12-31,Or it’s cool if it’s a diss record because it’s more entertaining? Ima break all codes. I ain’t taking advice from… https://t.co/k7b9e1O9P3,or it cool if it diss record because it more enteaining ima break all codes ain taking advice from,1
115,1079832281961746432,2018-12-31,I only play by God’s rules. I don’t follow no man made codes,only play by god rules don follow no man made codes,0
116,1079821925675819008,2018-12-31,RT @fancy: Today is our tenth birthday ✨,today is our tenth bihday,0
117,1079587635188756481,2018-12-31,RT @yetaughtni: @kanyewest KSG tour 2019?,ksg tour,0
118,1079587619749515264,2018-12-31,"RT @noemikardash: being a kanye fan this year has been a rollercoaster, but i wouldn’t trade it for anything! i’ve made so many friends and…",being kanye fan this year has been rollercoaster but wouldn trade it for anything ve made so many friends and,1
119,1079587430699692033,2018-12-31,even the haters     haters are fans too,even the haters haters are fans too,0
120,1079586959851319297,2018-12-31,We appreciate all the real ones who made it through 2018 with us    Thank goodness for all of our fans and supporters,we appreciate all the real ones who made it through with us thank goodness for all of our fans and suppoers,1
121,1079586679701159936,2018-12-31,We feel the love,we feel the love,1
122,1079586631546327041,2018-12-31,Everything happens for a reason,everything happens for reason,0
123,1079586088203706368,2018-12-31,2019 we’re already so thankful for the blessings in order,we re already so thankful for the blessings in order,0
124,1079585758124470272,2018-12-31,Refresh,refresh,0
125,1079585714168184832,2018-12-31,New designs new music new ideas renewed spirit we changing everything everyday the vision is crystal,new designs new music new ideas renewed spirit we changing everything everyday the vision is crystal,1
126,1079584994446569477,2018-12-31,I feel stronger than ever    We are stronger than ever,feel stronger than ever we are stronger than ever,0
127,1079582878554501120,2018-12-31,We feel soooo much love. So much good energy. So much good will,we feel soooo much love so much good energy so much good will,1
128,1079582777584930816,2018-12-31,I’m drug free and my spirit is connected. No weapon formed against us shall prosper,drug free and my spirit is connected no weapon formed against us shall prosper,1
129,1079582457140109312,2018-12-31,I got to be myself and nobody had to “let me”,got to be myself and nobody had to let me,0
130,1079582295223263232,2018-12-31,2018 was so beautiful,was so beautiful,1
131,1079576420886573056,2018-12-31,We’re super happy,we re super happy,1
132,1079473911199195137,2018-12-30,My dad got me a drone for Christmas 🔥🔥🔥,my dad got me drone for christmas,0
133,1079053497016807424,2018-12-29,All positive vibes,all positive vibes,1
134,1079043549394419713,2018-12-29,Love everyone,love everyone,1
135,1078834888537567232,2018-12-29,Oxygen cost twenty dollars https://t.co/R86SfKWEpM,oxygen cost twenty dollars,0
139,1078832154530873344,2018-12-29,Wait for it... https://t.co/BcpWSARsw1,wait for it,0
140,1078788175982661632,2018-12-28,"RT @Soil2Soulutions: Beloved gorilla Koko, famous for learning American Sign Language, passed away at 46. This is her last message to human…",beloved gorilla koko famous for learning american sign language passed away at this is her last message to human,1
141,1078660647162830849,2018-12-28,"RT @SpaghettiBoys1: KERWIN FROST PRESENTS THE 2018 KARDASHIAN-JENNER-WEST CHRISTMAS PARTY

WATCH THE FULL VIDEO: https://t.co/38GPpJk0BF ht…",kerwin frost presents the kardashian jenner west christmas pay watch the full video ht,1
142,1077955627228356608,2018-12-26,My dad said he sees a green aura around me so I looked this up and this described me perfectly https://t.co/gnUvpP01Nx,my dad said he sees green aura around me so looked this up and this described me perfectly,1
143,1077435867814256640,2018-12-25,Bff https://t.co/wwGQihtBen,bff,0
144,1077412510532231168,2018-12-25,Legendary Christmas https://t.co/tSdUXB8HF3,legendary christmas,1
145,1076642059216289792,2018-12-23,Pulling up in the may bike 😂 https://t.co/bNFc1RoSud,pulling up in the may bike,0
146,1076227248330498048,2018-12-21,Cube and Short 🐐🐐 https://t.co/kGaduxWabJ,cube and sho,0
147,1076179449882669057,2018-12-21,RT @Maha_Sattva: GOOD ASS JOB. @chancetherapper @kanyewest https://t.co/SpBXzKhU2i,good ass job,1
151,1075227644059242496,2018-12-19,Yeezy colors https://t.co/dblBPmYWzO,yeezy colors,0
152,1074859136121155584,2018-12-18,Meanwhile https://t.co/VvGYMlTzw0,meanwhile,0
153,1074819285178937345,2018-12-18,RT @KidCudi: Red Table Talk!! https://t.co/bJ4Xbtqwgv,red table talk,0
155,1074689645613481985,2018-12-17,2019 year of the established miracle  https://t.co/cl8iQwmj3L,year of the established miracle,0
156,1074674323409911808,2018-12-17,Bob Dylan,bob dylan,0
157,1074670349030060033,2018-12-17,"If I’d thought about it I never would’ve done it, I would’ve let it slide
If I’d lived my life by what others were… https://t.co/VC2gYPgVoW",if thought about it never would ve done it would ve let it slide if lived my life by what others were,0
158,1074006404770365440,2018-12-15,Met with Trav at my crib this morning   We expressed ourselves    It’s all love,met with trav at my crib this morning we expressed ourselves it all love,1
160,1073938621453852679,2018-12-15,I will put this in question form     Who has heard of the twelve lost tribes of Judah?  Have you heard that two of… https://t.co/sMhFsuAWpj,will put this in question form who has heard of the twelve lost tribes of judah have you heard that two of,0
161,1073936915382976515,2018-12-15,WE FREE,we free,1
162,1073936744922243072,2018-12-15,We free,we free,1
163,1073936724974231552,2018-12-15,I love that we are destigmitizing mental health     Gucciman and Quavo have a song Bipolar this is so good for culture,love that we are destigmitizing mental health gucciman and quavo have song bipolar this is so good for culture,1
164,1073932772610269190,2018-12-15,I’m loving the new music I’ve been working on. 6 months off meds I can feel me again.   Remember when dark fantasy… https://t.co/BwSi6mJeFx,loving the new music ve been working on months off meds can feel me again remember when dark fantasy,1
165,1073928952689745920,2018-12-15,RT @CranetheGod: love you ye 💜🙏🏼 blessings https://t.co/4rPBWCCsNr,love you ye blessings,1
166,1073928841381335040,2018-12-15,Keep squares out yo circle,keep squares out yo circle,0
167,1073928767460990976,2018-12-15,There was a handler with me at TMZ a so called voice of reason that thank the lord no longer is in my circle,there was handler with me at tmz so called voice of reason that thank the lord no longer is in my circle,0
168,1073928512799596544,2018-12-15,I have no more handlers     Only fear god,have no more handlers only fear god,-1
169,1073928363687825410,2018-12-15,RT @CranetheGod: STOP SAYING THAT KIM NEEDS TO TAKE YE PHONE OR HE NEEDS TO TAKE HIS MEDS THIS IS RAW EMOTION YALL DO NOT FEEL THAT ANYMORE…,stop saying that kim needs to take ye phone or he needs to take his meds this is raw emotion yall do not feel that anymore,-1
170,1073928170603040768,2018-12-15,I give up drinking every week,give up drinking every week,0
171,1073928102969896960,2018-12-15,You don’t make runaway on medication      Even alcohol is and addictive substance called spirits that actually bloc… https://t.co/NNhfcTO4pE,you don make runaway on medication even alcohol is and addictive substance called spirits that actually bloc,0
172,1073927769178857477,2018-12-15,I cannot be on meds and make watch the throne level or dark fantasy level music,cannot be on meds and make watch the throne level or dark fantasy level music,-1
173,1073927580116373504,2018-12-15,God has given me this voice for a reason,god has given me this voice for reason,0
174,1073927363287605248,2018-12-15,Perhaps we stop looking at my tweets as rants and start looking at them as therapy testimonials and some even ministry,perhaps we stop looking at my tweets as rants and sta looking at them as therapy testimonials and some even ministry,0
175,1073927035834122240,2018-12-15,Man makes plans and god laughs,man makes plans and god laughs,0
176,1073926905483546624,2018-12-15,I need to speak about how Chance demanding that we record in Chicago reconnected me with my roots and also my faith in Jesus Christ,need to speak about how chance demanding that we record in chicago reconnected me with my roots and also my faith in jesus christ,0
177,1073926648494342144,2018-12-15,You have to see and feel how happy I am and how strong my family is. We are even stronger because of this through the love and grace of god,you have to see and feel how happy am and how strong my family is we are even stronger because of this through the love and grace of god,1
178,1073926417061007360,2018-12-15,People said my career was over after TMZ       I need to show the world that we so called crazy people will not be just written off,people said my career was over after tmz need to show the world that we so called crazy people will not be just written off,-1
179,1073926102509223936,2018-12-15,I’ve been trying to do a serious interview speaking on mental health but it seems as though all members of press ar… https://t.co/uqybonu9aw,ve been trying to do serious interview speaking on mental health but it seems as though all members of press ar,-1
180,1073925651416186881,2018-12-15,"RT @JaidaRaymond: Thank u for being you, goat @kanyewest 💜💜💜",thank for being you goat,0
181,1073925514241310720,2018-12-15,People try to ‘handle you when they think you have a mental problem,people try to handle you when they think you have mental problem,-1
182,1073925288793231360,2018-12-15,RT @colinags: don't be coming on here trying to police Kanye and tell him what to do and talk to him like people dealing with mental health…,do not be coming on here trying to police kanye and tell him what to do and talk to him like people dealing with mental health,-1
183,1073924911922442240,2018-12-15,We as a society are taking control of our consciousness and raising it together,we as society are taking control of our consciousness and raising it together,0
184,1073924669537800192,2018-12-15,The paradigm is shifting,the paradigm is shifting,0
185,1073924295347208192,2018-12-15,We love,we love,1
186,1073924274530988037,2018-12-15,Drake and Trav both love Ye more than anyone and I love those guys back. We love everyone,drake and trav both love ye more than anyone and love those guys back we love everyone,1
187,1073923997710962690,2018-12-15,We’re all growing together,we re all growing together,0
188,1073923893289639936,2018-12-15,It’s like when you see a tv show from the 60s and it’s super racist and sexist,it like when you see tv show from the and it super racist and sexist,1
189,1073923767330426880,2018-12-15,It reminds me of when I said stop hip hop homophobia      It used to be ok for rappers to bash gay people just list… https://t.co/aM6vHpPmv9,it reminds me of when said stop hip hop homophobia it used to be ok for rappers to bash gay people just list,1
190,1073923145084526592,2018-12-15,I don’t blame people for not knowing how to handle this that said we as a society will learn together,don blame people for not knowing how to handle this that said we as society will learn together,0
191,1073922924392853505,2018-12-15,I am able to experience first hand how people who have mental health issues get written off by society.    Don’t li… https://t.co/IGUCbPfdMT,am able to experience first hand how people who have mental health issues get written off by society don li,1
192,1073922578056499200,2018-12-15,No one would ever choose to end up in a mental hospital and diagnosed with a mental disorder but god chose me to pu… https://t.co/4ECgeaKaQ6,no one would ever choose to end up in mental hospital and diagnosed with mental disorder but god chose me to pu,-1
193,1073921236982390785,2018-12-15,Drake verbally attacked Cudi when he was in the hospital and went at me after TMZ because I decided to release albu… https://t.co/M3ntuS448L,drake verbally attacked cudi when he was in the hospital and went at me after tmz because decided to release albu,0
194,1073920435685711872,2018-12-15,People will no longer take mental health for a joke,people will no longer take mental health for joke,-1
195,1073920226440359937,2018-12-15,I know Ariana said this to be cool and didn’t mean no harm but I don’t like even slightest level of slight commenta… https://t.co/NPuop8J2sC,know ariana said this to be cool and didn mean no harm but don like even slightest level of slight commenta,-1
196,1073914942808502272,2018-12-15,RT @i_iove_nature: Look how beautiful are these leopard? https://t.co/m4Ox66qO4P,look how beautiful are these leopard,1
197,1073914408563167232,2018-12-15,"RT @tylerthecreator: one thing i will say. or two. i notice alot of people say "" i love this stuff but i couldnt pull it off"". yes u can wh…",one thing will say or two notice alot of people say love this stuff but couldnt pull it off yes can wh,1
198,1073914240224747520,2018-12-15,"RT @KanyePodcast: @kanyewest @Cartier Info!

Oken has been head of JP Morgan’s Consumer Retail Investment for 27 years. Which is crazy.

Th…",info oken has been head of jp morgan consumer retail investment for years which is crazy th,-1
199,1073853398028406784,2018-12-15,Erik Oken and I are @Cartier brothers https://t.co/tGMRbO9L6o,erik oken and are brothers,0
200,1073796890196668418,2018-12-15,Typo Lauren Michaels is the goat   The world needs that Ye SNL 👽👽👽,typo lauren michaels is the goat the world needs that ye snl,0
201,1073796662227886082,2018-12-15,Meeting with Trav tonight bet it never be a checks over stripes line again on a Trav song on Donda,meeting with trav tonight bet it never be checks over stripes line again on trav song on donda,0
202,1073795934839033856,2018-12-15,Still waiting to host SNL🤔Lauren in the goat. Ye gotta host,still waiting to host snl lauren in the goat ye gotta host,0
203,1073689922022850561,2018-12-14,@HIDEO_KOJIMA_EN      Let’s please meet today  I’m in NY as well,let please meet today in ny as well,0
204,1073688212311326722,2018-12-14,Heard Hideo Kojima is in NY    We need to meet   Does anyone know where he is or how to contact him,heard hideo kojima is in ny we need to meet does anyone know where he is or how to contact him,0
205,1073676066592579587,2018-12-14,Brain 🧠 joggers make another appearance https://t.co/GYWtV05qvV,brain joggers make another appearance,0
207,1073633278157090817,2018-12-14,Turrell 🐐 https://t.co/MTzZiWeTWS,turrell,0
208,1073610500531998722,2018-12-14,"@cartier the crash watch designed by the CEO of Cartier in 1967 @nickwoodhouse wearing the 
Ecrou de cartier with s… https://t.co/0wAxQEfNVd",the crash watch designed by the ceo of caier in wearing the ecrou de caier with,0
209,1073600575760154624,2018-12-14,@nickwoodhouse made our own currency https://t.co/Twx7iQAGzT,made our own currency,1
210,1073586253726183424,2018-12-14,Me and JP🙏🏿 heal the world https://t.co/1KwJUA1Gb4,me and jp heal the world,0
211,1073567957958176768,2018-12-14,Vision https://t.co/W5E8w0jYZS,vision,0
212,1073564810569236481,2018-12-14,Meditate in positivity,meditate in positivity,0
213,1073469270133272576,2018-12-14,All love,all love,1
214,1073469247265869827,2018-12-14,All positive vibes,all positive vibes,1
215,1073469211287191552,2018-12-14,I’ve made mistakes and have karma   No man is perfect     The universe will test us,ve made mistakes and have karma no man is perfect the universe will test us,1
216,1073458289583841285,2018-12-14,I’m a man about my family and integrity,man about my family and integrity,0
217,1073455561361055744,2018-12-14,Broke down doors for sneakers fashion music everything,broke down doors for sneakers fashion music everything,-1
